Prix,Boite_de_vitesses,Mode_de_transmission,Immatriculation
32054357.0,29809416.300904978,41172700.47964377,6de922b2-94d3-413b-8297-2e8c5dad89ea
813210.0,2232150.4466731064,7465621.600713013,c5997c68-c67d-467d-9651-c7b57b93623d
34427220.0,29295262.692050073,33864912.690795355,6e9d75e6-6385-46f8-953a-ac062e817e6d
16691500.0,29809416.300904978,19470409.716355532,da9f9602-a32f-487f-88f0-93b382fd6695
19702647.0,29809416.300904978,19470409.716355532,0cf98e56-5422-4fac-9767-a23a4e21ec9d
14554988.0,21043661.273426056,19470409.716355532,b6a8731f-5203-40f7-b8d6-2a4c23b41560
14020860.0,14065157.677058354,19470409.716355532,0767433a-1b48-423d-9bb6-f2b5543648c5
8178835.0,14065157.677058354,19470409.716355532,5ce1dc9e-1100-40e9-9620-45e49a7aff76
18260501.0,36789851.153664306,19470409.716355532,9149492a-884c-472b-9f92-3066deddc2a3
34144132.0,29809416.300904978,19470409.716355532,f7329e3e-cc93-4d5f-bd70-ce565002ce24
12017880.0,10725118.066160789,7465621.600713013,68556cbc-4db8-4555-aa20-07997ac37239
31103609.0,34212183.78684155,41172700.47964377,4ecfdea3-63d0-469a-aae3-19c404c3cc97
18901455.0,14065157.677058354,19470409.716355532,66ba5978-f9a3-4ff3-9718-7d6735419bc1
27574358.0,40158231.57353714,33864912.690795355,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
20497162.0,24202373.90138675,33864912.690795355,fa6fa76e-a360-44b7-9a89-b3794f16d364
21999397.0,36789851.153664306,19470409.716355532,39f42829-f725-4d43-bfd9-54b158e2cfd0
24970484.0,24202373.90138675,33864912.690795355,717d6e72-a731-4934-8f2e-b4cb4e985561
26851950.0,24202373.90138675,19470409.716355532,115b72dd-052f-4a55-bd07-b7083ce08798
28089792.0,24202373.90138675,33864912.690795355,fdf49405-f747-4d44-9e06-f7e04473dbfa
20463779.0,23653165.445305828,19470409.716355532,1401d40e-e1bf-4271-85a7-a9f22e3b385a
20397013.0,24202373.90138675,19470409.716355532,1fd9d158-a61e-449c-9dd1-93714c036fd2
28836235.0,29809416.300904978,19470409.716355532,c889beae-1d02-44f0-9605-18469e71cd03
82122180.0,28821586.214395262,41172700.47964377,c57e7ba1-7f5d-45e7-8058-54ce87237692
20166670.0,29809416.300904978,19470409.716355532,e5dff730-e7d9-4079-820c-1aaaa740255e
19529055.0,23653165.445305828,19470409.716355532,156933b6-ba16-47b2-93e3-a82471629fe1
21698950.0,24202373.90138675,19470409.716355532,2ff46b5c-c763-4be8-8844-5ee336efc404
15723393.0,24202373.90138675,19470409.716355532,e416bfac-0b89-4480-b85d-48e0ce816c9c
15015673.0,14065157.677058354,19470409.716355532,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
24549858.0,29809416.300904978,19470409.716355532,d7e68da6-586a-4b87-82a2-c5e0d92318e1
23968994.0,14065157.677058354,33864912.690795355,3e166dd7-ce28-42c6-ad0d-eaed2435c655
14014183.0,14065157.677058354,19470409.716355532,67f46d4c-b53a-4495-8b87-8667ad8cdeaf
117775224.0,29809416.300904978,33864912.690795355,d8698a86-ed3c-41c3-8432-3b8e97e60293
814545.0,6858093.216200304,7465621.600713013,35223a75-66d6-45bd-81e0-a3d5be07af1d
10015568.0,14065157.677058354,19470409.716355532,4bd92e21-eb43-4b2e-bcff-5dc8c8ecfafc
24589918.0,24202373.90138675,19470409.716355532,deeac0d6-1aea-4f21-82a0-c72451151e71
34523363.0,24888816.175845314,41172700.47964377,dec164ea-daba-4df3-bc06-33013e3f2d78
28943061.0,40158231.57353714,33864912.690795355,42716a61-ae56-493d-a081-a548ee88900f
24870335.0,24202373.90138675,33864912.690795355,771cf73b-4ff9-4c00-aa7f-f9119fa29376
33690124.0,24202373.90138675,19470409.716355532,6a24e4a2-46c8-4483-8cfa-a5e3b1e9ca2b
16157372.0,24202373.90138675,19470409.716355532,6b4f34fb-f3b3-4d57-ac3a-b1046d4ad37f
15349503.0,24202373.90138675,19470409.716355532,03a23a67-b9e7-4151-abdd-27e35116eca0
16958564.0,24678235.832407784,19470409.716355532,5cb61915-59d3-42d1-918a-d25bd7acd705
31413403.0,29295262.692050073,19470409.716355532,61bf046c-9e44-4c33-ba55-c915f828d593
15456329.0,24202373.90138675,19470409.716355532,4e121217-12d7-42f3-9fcc-1d6678ae941d
28442316.0,29295262.692050073,41172700.47964377,57723fe9-9d65-4a64-9ba3-f25c6b8771e7
32969051.0,24202373.90138675,33864912.690795355,bbc7a384-f78e-4bb0-a9f4-a93775e6446a
21031290.0,12685580.654903455,19470409.716355532,5515a928-6d9e-4f9a-9c6f-22fa73681252
36125747.0,24202373.90138675,19470409.716355532,31e80e34-edfb-4a49-ac86-416a6e4c201b
1996303.0,2232150.4466731064,7465621.600713013,0e0608a9-a42d-4dd1-893c-40d59a956601
25337697.0,24202373.90138675,33864912.690795355,43156a31-0f7f-4b2c-ad3f-0a28cfce69ab
15890308.0,21043661.273426056,19470409.716355532,ea001560-f77d-44a3-867a-18b1c694d2c0
22233078.0,24678235.832407784,19470409.716355532,cd04d633-d48c-496b-a90a-f3d0733baa61
31512217.0,29437328.610117294,33864912.690795355,0f16355f-d1a4-485b-9d45-d2147a486b56
20296864.0,24202373.90138675,19470409.716355532,7d44cb15-465b-4ddc-a51a-2aba50c43e4b
20997907.0,29295262.692050073,19470409.716355532,cdb7abc3-f805-4f08-a9ff-09d65cbf7be9
13920711.0,14065157.677058354,19470409.716355532,050d7d51-4b9c-4302-bb72-d93a25797f6e
13994154.0,24202373.90138675,19470409.716355532,a2422f28-a1f6-4c3d-bdad-86d6ba8625dd
14054243.0,14065157.677058354,19470409.716355532,d485b18c-1176-4088-bdcb-57fc669e26e9
30805832.0,29295262.692050073,19470409.716355532,131a2973-fefd-4a5c-a991-90c966d16dd0
24135909.0,29295262.692050073,41172700.47964377,503175c8-90b9-4716-9dbb-89f7f4ff6637
24035760.0,24202373.90138675,19470409.716355532,4e8d8cdf-3704-4447-9c5b-d4ae60a01261
43566150.0,24202373.90138675,41172700.47964377,f9aa35ea-634b-4794-8528-6977a5353eef
2649943.0,6858093.216200304,7465621.600713013,427dee2e-b3d4-439f-9740-1a3c5f338ba0
39271761.0,29809416.300904978,41172700.47964377,f1eab354-346c-4d1f-8df3-8765d0742716
46836349.0,56590681.6535342,34927072.57614895,3508df78-e16b-4e65-ba6f-d025065ca527
26172272.0,24202373.90138675,33864912.690795355,8d3cfc7b-0031-404d-ba6d-3ec5fa22a0f0
20557251.0,12685580.654903455,19470409.716355532,23df446d-7660-438e-a991-8108e26a3947
43698347.0,40158231.57353714,41172700.47964377,d6cb2ccd-f294-486d-8ee6-910684a54395
23468249.0,24202373.90138675,19470409.716355532,3a6a2fc1-74be-41a2-81bd-0615b316cb86
17793139.0,14065157.677058354,19470409.716355532,312a3fcf-35d0-44bc-a078-6528fdc014e8
13119519.0,23653165.445305828,33864912.690795355,6513ee78-bb45-4d06-938d-810975cb64ad
45761416.0,29809416.300904978,41172700.47964377,a913e5b6-913d-4e29-a767-7b17fb4daec8
27247205.0,24202373.90138675,19470409.716355532,a5659c44-33fc-49d3-a69f-c74543353636
24444368.0,24202373.90138675,19470409.716355532,217fdd77-7810-4a56-8380-959b7d024d15
25237548.0,36789851.153664306,33864912.690795355,61fc4152-da25-46cf-9793-788159a69c7e
23134419.0,36467322.421829894,19470409.716355532,2531897c-d7c7-4ceb-8d32-e7f378541bed
9414006.0,6858093.216200304,7465621.600713013,5c92b53e-08a9-4232-87dc-59e1b3fb9191
