Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Prix,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,Immatriculation
1984.0,4300.0,350.0,16.0,9.6,155.0,82.5,92.8,34337754.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,19757982.332198568,31460359.978947368,38283176.946385056,33048149.61551384,ba1b7bc5-5031-432b-aaf1-2de6fd753954
2298.0,1250.0,310.0,16.0,15.680000000000001,92.0,82.6,84.76,23795402.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,16749752.859122401,20111375.114230692,5a5a0420-1f12-40a8-a90c-39e7a68b775f
1395.0,5000.0,250.0,16.0,12.62,110.0,84.8,95.91999999999999,42543295.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,27912203.44233807,31460359.978947368,21681371.152758133,25504888.160491057,02c4f548-c0ad-4e58-976a-68563c7e8db9
50.0,6700.0,72.2,4.8,11.96,0.0,46.260000000000005,44.64,1694521.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.950261781,7645246.457534265,16749752.859122401,5304579.614093546,2a707a28-4cd0-43a1-a69e-71f73c41dec6
2925.0,3600.0,700.0,24.0,16.4,243.0,83.4,90.74,53946928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40563542.01660886,26276015.74640598,26680972.63857678,38283176.946385056,34570142.03341028,30a666ba-fcc5-48d8-9ab8-eceb97cdbea0
1896.0,1800.0,240.0,8.0,19.0,74.0,79.5,95.5,16444466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,26276015.74640598,18927839.747107603,17834545.589479614,18266931.073424324,42ef11ca-2db3-46ce-bbc0-d8329ab8c7e7
1598.0,1750.0,320.0,16.0,16.5,88.0,79.5,80.5,15683333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,19160115.540311407,26680972.63857678,21681371.152758133,19422344.035949055,b40f9de0-653b-4b0f-af06-ecc0d857716b
1998.0,5000.0,300.0,16.0,11.0,135.0,82.0,94.6,44432773.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,30536239.086159073,31460359.978947368,38283176.946385056,29236868.341973256,1fe0cd35-9e25-430a-83e1-14946c633fee
2494.0,3350.0,269.2,24.0,10.620000000000001,125.0,84.12,83.6,23227224.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40563542.01660886,19406938.01574803,20898796.57357366,16749752.859122401,28607188.75370937,ead240fa-4f1f-4045-8a81-36227121a7c5
2998.0,2800.0,430.0,16.0,17.5,132.0,95.8,104.0,36482278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,30130589.349512666,67a91015-bab5-4639-bc02-dda06dc2dcfb
1199.0,1750.0,230.0,12.0,10.5,96.0,75.0,90.5,20570605.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,25432239.118049614,31460359.978947368,21681371.152758133,20320639.538488705,ae44c7c9-1456-4909-a2c5-a58d30035948
1497.0,2500.0,320.0,12.0,10.72,147.0,76.5,91.08,24603271.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,27912203.44233807,31460359.978947368,21681371.152758133,29139945.53385662,b360b831-31f5-4bc3-8986-899b2f946482
1332.0,5500.0,230.0,16.0,11.42,118.0,72.2,81.4,27908188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,23680251.431862675,35e86943-8fdf-4952-b6bc-dab5c314a9e0
2393.0,3400.0,400.0,16.0,15.6,110.0,92.0,90.0,24023742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,16749752.859122401,25103235.304740407,d5a41251-d9b0-4c80-a717-d890443914cc
2299.0,1500.0,380.0,16.0,16.0,120.0,85.0,101.3,35837318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,50516393.43037311,26680972.63857678,21681371.152758133,28993201.101633847,f4cb5363-7f57-4fe6-b2da-d5758fc863c8
1991.0,4200.0,180.0,16.0,18.0,60.0,83.0,92.0,16791649.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,19757982.332198568,26680972.63857678,21681371.152758133,17626804.12288714,542fa22e-5c45-4ab3-b02f-94c8134753c2
1969.0,4250.0,350.0,16.0,15.8,110.0,82.0,93.2,26913375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,50516393.43037311,26680972.63857678,21681371.152758133,25103235.304740407,393628cc-3218-46a6-9d7c-7be121395737
1390.0,3800.0,132.0,16.0,10.5,63.0,76.5,75.6,13172932.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,14578267.926472178,c4ab0543-4b38-4ecf-8fa7-f7d03261d243
1461.0,4000.0,260.0,8.0,15.5,81.0,76.0,80.5,19709323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27093654.66564013,27912203.44233807,26680972.63857678,21681371.152758133,16434021.000034105,10ae3fac-21f3-4841-bb98-f25d7747de38
2488.0,1800.0,270.0,12.8,16.5,96.0,89.0,100.0,20542563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.950261781,20898796.57357366,16749752.859122401,26238120.616200935,e3364f90-b231-45a4-a6a2-d4af4c88a7f4
2967.0,4000.0,500.0,24.0,17.0,180.0,83.0,91.4,56711040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39761696.631123826,26276015.74640598,26680972.63857678,38283176.946385056,36136131.14377677,3ea832c9-8a90-40cd-b6cb-78559445ef5e
1499.0,1750.0,250.0,16.0,11.28,75.0,75.0,84.8,19462289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,29758701.913786486,21681371.152758133,17049040.656574976,77c94b34-2303-4766-9a15-a14b31055b54
1991.0,4200.0,180.0,16.0,18.0,60.0,83.0,92.0,18026820.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,19757982.332198568,26680972.63857678,21681371.152758133,17626804.12288714,3603ec70-24b3-4279-bb34-93a0076d5ae1
1499.0,1750.0,250.0,8.0,18.119999999999997,75.0,75.0,88.3,14621754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,17049040.656574976,43e2ad09-7652-43a7-84ee-476562ae3cef
50.0,6700.0,72.2,4.8,11.96,0.0,46.260000000000005,44.64,1368035.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.950261781,7645246.457534265,16749752.859122401,5304579.614093546,4e7aea1c-2ee1-4870-8ff1-f5cbb0332d74
