Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Prix,Immatriculation
6.0,137.0,7.220000000000001,4.859999999999999,28836235.0,c889beae-1d02-44f0-9605-18469e71cd03
9.9,225.0,13.5,7.8,82122180.0,c57e7ba1-7f5d-45e7-8058-54ce87237692
4.2,112.0,4.4,4.1,20166670.0,e5dff730-e7d9-4079-820c-1aaaa740255e
4.2,110.0,5.1,3.7,19529055.0,156933b6-ba16-47b2-93e3-a82471629fe1
6.2,165.0,8.4,4.9,21698950.0,2ff46b5c-c763-4be8-8844-5ee336efc404
5.4,141.0,7.1,4.4,15723393.0,e416bfac-0b89-4480-b85d-48e0ce816c9c
3.8,99.0,4.7,3.4,15015673.0,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
5.6,130.0,7.0,4.8,24549858.0,d7e68da6-586a-4b87-82a2-c5e0d92318e1
7.8,190.0,10.8,6.1,23968994.0,3e166dd7-ce28-42c6-ad0d-eaed2435c655
4.9,129.0,6.0,4.3,14014183.0,67f46d4c-b53a-4495-8b87-8667ad8cdeaf
12.4,284.0,14.9,10.9,117775224.0,d8698a86-ed3c-41c3-8432-3b8e97e60293
2.66,61.0,8.419999999999998,5.28,814545.0,35223a75-66d6-45bd-81e0-a3d5be07af1d
5.62,134.6,6.959999999999999,4.68,10015568.0,4bd92e21-eb43-4b2e-bcff-5dc8c8ecfafc
6.82,166.0,9.120000000000001,5.619999999999999,24589918.0,deeac0d6-1aea-4f21-82a0-c72451151e71
8.8,236.0,10.0,8.1,34523363.0,dec164ea-daba-4df3-bc06-33013e3f2d78
5.5,144.0,6.5,4.9,28943061.0,42716a61-ae56-493d-a081-a548ee88900f
4.3,114.0,5.3,3.8,24870335.0,771cf73b-4ff9-4c00-aa7f-f9119fa29376
7.039999999999999,176.0,8.9,5.619999999999999,33690124.0,6a24e4a2-46c8-4483-8cfa-a5e3b1e9ca2b
5.2,138.0,6.2,4.7,16157372.0,6b4f34fb-f3b3-4d57-ac3a-b1046d4ad37f
6.1,159.0,7.9,5.1,15349503.0,03a23a67-b9e7-4151-abdd-27e35116eca0
7.2,172.0,9.6,5.9,16958564.0,5cb61915-59d3-42d1-918a-d25bd7acd705
6.9,156.0,8.68,5.96,31413403.0,61bf046c-9e44-4c33-ba55-c915f828d593
6.3,145.0,8.4,5.1,15456329.0,4e121217-12d7-42f3-9fcc-1d6678ae941d
8.36,38.0,9.22,5.46,28442316.0,57723fe9-9d65-4a64-9ba3-f25c6b8771e7
5.720000000000001,145.6,8.66,5.459999999999999,32969051.0,bbc7a384-f78e-4bb0-a9f4-a93775e6446a
5.8,134.0,7.6,4.7,21031290.0,5515a928-6d9e-4f9a-9c6f-22fa73681252
9.5,249.0,10.34,6.18,36125747.0,31e80e34-edfb-4a49-ac86-416a6e4c201b
2.66,61.0,8.419999999999998,5.28,1996303.0,0e0608a9-a42d-4dd1-893c-40d59a956601
6.6,154.0,8.6,5.4,25337697.0,43156a31-0f7f-4b2c-ad3f-0a28cfce69ab
8.3,194.0,11.4,6.3,15890308.0,ea001560-f77d-44a3-867a-18b1c694d2c0
4.8,110.0,7.1,4.8,22233078.0,cd04d633-d48c-496b-a90a-f3d0733baa61
5.62,140.8,7.5,5.04,31512217.0,0f16355f-d1a4-485b-9d45-d2147a486b56
4.3,114.0,5.1,3.9,20296864.0,7d44cb15-465b-4ddc-a51a-2aba50c43e4b
5.4,143.0,7.1,4.4,20997907.0,cdb7abc3-f805-4f08-a9ff-09d65cbf7be9
5.0,135.0,6.4,4.2,13920711.0,050d7d51-4b9c-4302-bb72-d93a25797f6e
5.0,105.0,5.8,4.6,13994154.0,a2422f28-a1f6-4c3d-bdad-86d6ba8625dd
