nombre_de_places,volume_de_coffre,volume_de_coffre_utile,Prix,Immatriculation
5.0,350.0,1170.0,22132929.0,7ed05991-a88e-4ac4-936f-ff9295e9cbfb
5.0,362.0,1093.0,14988967.0,84957746-0d8e-4afd-b0e5-b4fa51ac2d6e
4.0,408.6,1558.0,17526075.0,34993d59-d916-4f55-8807-85a6731f9e82
3.0,435.8,1249.4,23699259.0,76d7e92a-3801-4097-95b0-042528f8393c
5.0,450.0,1390.0,23635164.0,e4fd3538-f7a8-4efd-8622-32d872d43458
5.0,350.0,1000.0,15683333.0,9077516f-61ed-44fc-89c1-6a03aabec79c
5.0,540.0,1560.0,32054357.0,6de922b2-94d3-413b-8297-2e8c5dad89ea
5.0,232.4,1058.4,813210.0,c5997c68-c67d-467d-9651-c7b57b93623d
3.0,489.4,1416.2,34427220.0,6e9d75e6-6385-46f8-953a-ac062e817e6d
5.0,395.0,1450.0,16691500.0,da9f9602-a32f-487f-88f0-93b382fd6695
5.0,335.0,1424.8,19702647.0,0cf98e56-5422-4fac-9767-a23a4e21ec9d
5.0,288.0,1028.0,14554988.0,b6a8731f-5203-40f7-b8d6-2a4c23b41560
5.0,363.0,1262.0,14020860.0,0767433a-1b48-423d-9bb6-f2b5543648c5
5.0,288.0,1038.0,8178835.0,5ce1dc9e-1100-40e9-9620-45e49a7aff76
5.0,341.0,1320.0,18260501.0,9149492a-884c-472b-9f92-3066deddc2a3
5.0,1632.0,1523.2,34144132.0,f7329e3e-cc93-4d5f-bd70-ce565002ce24
4.8,327.8,973.2,12017880.0,68556cbc-4db8-4555-aa20-07997ac37239
5.0,420.0,1445.0,31103609.0,4ecfdea3-63d0-469a-aae3-19c404c3cc97
4.8,386.0,1374.2,18901455.0,66ba5978-f9a3-4ff3-9718-7d6735419bc1
5.0,485.0,1500.0,27574358.0,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
9.0,459.0,1583.0,20497162.0,fa6fa76e-a360-44b7-9a89-b3794f16d364
5.0,341.0,1320.0,21999397.0,39f42829-f725-4d43-bfd9-54b158e2cfd0
5.0,460.0,1337.6,24970484.0,717d6e72-a731-4934-8f2e-b4cb4e985561
2.0,465.4,1403.6,26851950.0,115b72dd-052f-4a55-bd07-b7083ce08798
7.0,452.8,1438.8,28089792.0,fdf49405-f747-4d44-9e06-f7e04473dbfa
4.0,312.0,1006.0,20463779.0,1401d40e-e1bf-4271-85a7-a9f22e3b385a
5.0,291.0,2860.0,20397013.0,1fd9d158-a61e-449c-9dd1-93714c036fd2
5.0,620.0,1529.0,28836235.0,c889beae-1d02-44f0-9605-18469e71cd03
4.0,430.0,1737.4,82122180.0,c57e7ba1-7f5d-45e7-8058-54ce87237692
5.0,380.0,1335.6,20166670.0,e5dff730-e7d9-4079-820c-1aaaa740255e
5.0,405.0,1162.0,19529055.0,156933b6-ba16-47b2-93e3-a82471629fe1
5.0,494.0,1292.6,21698950.0,2ff46b5c-c763-4be8-8844-5ee336efc404
5.0,520.0,1600.0,15723393.0,e416bfac-0b89-4480-b85d-48e0ce816c9c
5.0,350.0,1305.0,15015673.0,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
5.0,456.0,1206.4,24549858.0,d7e68da6-586a-4b87-82a2-c5e0d92318e1
4.0,389.2,1190.4,23968994.0,3e166dd7-ce28-42c6-ad0d-eaed2435c655
5.0,419.8,1297.2,14014183.0,67f46d4c-b53a-4495-8b87-8667ad8cdeaf
2.0,285.0,1419.6,117775224.0,d8698a86-ed3c-41c3-8432-3b8e97e60293
5.0,232.4,1058.4,814545.0,35223a75-66d6-45bd-81e0-a3d5be07af1d
5.0,267.4,1025.6,10015568.0,4bd92e21-eb43-4b2e-bcff-5dc8c8ecfafc
9.0,1300.0,3100.0,24589918.0,deeac0d6-1aea-4f21-82a0-c72451151e71
5.0,1525.8,3297.8,34523363.0,dec164ea-daba-4df3-bc06-33013e3f2d78
5.0,485.0,1500.0,28943061.0,42716a61-ae56-493d-a081-a548ee88900f
5.0,485.0,1500.0,24870335.0,771cf73b-4ff9-4c00-aa7f-f9119fa29376
3.0,459.0,1077.0,33690124.0,6a24e4a2-46c8-4483-8cfa-a5e3b1e9ca2b
5.0,430.0,1840.0,16157372.0,6b4f34fb-f3b3-4d57-ac3a-b1046d4ad37f
5.0,296.0,1013.0,15349503.0,03a23a67-b9e7-4151-abdd-27e35116eca0
5.0,435.0,1995.0,16958564.0,5cb61915-59d3-42d1-918a-d25bd7acd705
5.0,493.0,935.0,31413403.0,61bf046c-9e44-4c33-ba55-c915f828d593
5.0,405.0,1162.0,15456329.0,4e121217-12d7-42f3-9fcc-1d6678ae941d
5.0,400.0,1350.0,28442316.0,57723fe9-9d65-4a64-9ba3-f25c6b8771e7
