Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
250e,Hybride,Quatre cylindres en ligne,Turbo,Injection directe essence,1332.0,5500.0,230.0,16.0,13.88,Euro 6,Transversale Avant,160.0,118.0,72.2,81.4,35e86943-8fdf-4952-b6bc-dab5c314a9e0
2.4D-4D150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2393.0,3400.0,400.0,16.0,15.6,Euro 6,Transversale Avant,150.0,110.0,92.0,90.0,d5a41251-d9b0-4c80-a717-d890443914cc
2.3dCi165,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,2299.0,1500.0,380.0,16.0,16.0,Euro 6,Transversale Avant,163.0,120.0,85.0,101.3,f4cb5363-7f57-4fe6-b2da-d5758fc863c8
160CDI,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1991.0,4200.0,180.0,16.0,18.0,Euro 4,Transversale Avant,82.0,60.0,83.0,92.0,542fa22e-5c45-4ab3-b02f-94c8134753c2
D3,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,1969.0,4250.0,350.0,16.0,15.8,Euro 6,Transversale Avant,150.0,110.0,82.0,93.2,393628cc-3218-46a6-9d7c-7be121395737
1.416v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1390.0,3800.0,132.0,16.0,10.5,Euro 5,Transversale Avant,85.0,63.0,76.5,75.6,c4ab0543-4b38-4ecf-8fa7-f7d03261d243
1.5dCi110,Diesel,Quatre cylindres,Turbocompresseur,Injection directe à rampe commune,1461.0,4000.0,260.0,8.0,15.5,Euro 6,Transversale Avant,110.0,81.0,76.0,80.5,10ae3fac-21f3-4841-bb98-f25d7747de38
2.5dCi130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection,2488.0,1800.0,270.0,15.58,16.5,Euro 6,Transversale Avant,131.0,96.0,89.0,100.0,e3364f90-b231-45a4-a6a2-d4af4c88a7f4
3.0V6DI245,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2967.0,4000.0,500.0,24.0,17.0,Euro 5,Longitudinale Avant,245.0,180.0,83.0,91.4,3ea832c9-8a90-40cd-b6cb-78559445ef5e
1.5BlueHDi100,Diesel,Quatre cylindres en ligne,Turbo,Injection directe par rampe commune,1499.0,1750.0,250.0,16.0,13.88,Euro 6,Transversale Avant,102.0,75.0,75.0,84.8,77c94b34-2303-4766-9a15-a14b31055b54
