Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
3.0i326ch,Essence,Six cylindres en ligne,Bi-Turbos,Injection directe essence,2998.0,1380.0,450.0,24.0,11.0,Euro 6,Longitudinale Avant,326.0,240.0,82.0,94.6,569027b0-d982-41d7-97b4-15f91cfc6152
2.0D143,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,305.0,16.0,16.5,Euro 6,Longitudinale Avant,143.0,105.0,84.0,90.0,6e5cac2f-a5fb-4106-b4b0-e08ff20a91be
1.416v,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection multipoints,1390.0,3750.0,127.0,16.0,10.0,Euro 6,Transversale,95.0,70.0,79.5,70.0,df85bc08-ca87-4ac2-8001-1f265f5d897c
320CDI,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2987.0,1600.0,510.0,24.0,17.7,Euro 4,Longitudinale Avant,224.0,165.0,83.0,92.0,0449c1e9-1990-4475-91d2-cc2c6dad94dc
3.0HP146,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,2998.0,1400.0,350.0,16.0,13.88,Euro 6,Longitudinale Avant,146.0,107.0,95.8,104.0,9677b3dc-dcfb-45d7-9562-2d4cc09a2043
1.9D100,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1910.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,100.0,74.0,81.78,87.35,04486136-49c1-49f0-b91a-d559ae1f83a5
1200.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection multipoints,1157.0,8250.0,130.0,16.0,13.88,Euro 6,Vertical,167.0,123.0,79.0,59.0,fce42bde-e759-44e5-b32b-5dd1803d93d7
4.2V8Sural.,Essence,Huit cylindres en V,Compresseur volumétrique,Injection multipoints,4196.0,4000.0,560.0,32.0,9.1,Euro 6,Longitudinale Avant,416.0,306.0,86.0,90.3,cbb0ede5-54d3-4729-891b-b283b0eb2709
1.5dCi75,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1461.0,1750.0,180.0,8.0,17.9,Euro 5,Transversale Avant,75.0,55.0,76.0,80.5,d9f5902c-10cb-421e-90d8-2cf8783475a7
130D-4D,Diesel,Quatre cylindres en ligne,Turbo,Injection directe par rampe commune,1499.0,1750.0,300.0,16.0,13.88,Euro 6,Transversale Avant,130.0,96.0,75.0,84.8,882efa8d-469f-4022-8b3b-50bde12240ef
2.0EcoBlue130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3497.79,360.0,16.0,13.88,Euro 6,Transversale Avant,131.0,96.0,81.78,87.35,8d2e054f-406e-47a3-a0d0-8fbc22d06997
1.5dCi115,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1461.0,2000.0,260.0,8.0,15.1,Euro 6,Transversale Avant,115.0,85.0,76.0,80.5,1e4b82ea-85a9-407f-915d-4c670b639872
2.0FSI252,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1984.0,5000.0,370.0,16.0,13.88,Euro 6,Longitudinale Avant,252.0,185.0,81.78,87.35,63cede74-1013-4bab-91ac-cc8de29938b1
3.0DI233,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2967.0,4000.0,450.0,24.0,17.0,Euro 4,Longitudinale Avant,233.0,171.0,83.0,91.4,3da870c4-2891-4d86-b640-e8e43a025d86
116CDI,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,1950.0,3800.0,380.0,16.0,15.5,Euro 6,Transversale Avant,163.0,120.0,82.0,92.3,4fad4c3d-b504-4646-bc92-33266e02a927
2.0,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1999.0,4500.0,185.0,16.0,10.8,Euro 4,Transversale Avant,145.0,107.0,87.5,83.1,ecf03ddc-7ee9-457a-8bd9-81acbba30592
2.3HPi116,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2287.0,2500.0,320.0,16.0,16.0,Euro 6,Transversale Avant,116.0,85.0,88.0,94.0,1807d411-eaa8-474b-8123-f48e2c609a96
1.4,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,1396.0,3497.79,294.79,16.0,13.88,Euro 6,Transversale Avant,90.0,66.0,81.78,87.35,51542c63-0ca6-4d94-9957-7e011cc90ecb
1.8FSI180,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1798.0,5100.0,250.0,16.0,13.88,Euro 6,Transversale Avant,180.0,132.0,81.78,87.35,f309b7c8-065c-417a-8454-0949dfbb19ef
1.6DI105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,4400.0,250.0,16.0,16.5,Euro 5,Transversale Avant,105.0,77.0,79.5,80.5,df530be1-c8de-42ce-853b-ad82bea98ebc
2.0DI140,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4000.0,320.0,16.0,16.5,Euro 5,Transversale Avant,140.0,103.0,81.0,95.5,3ec0f97e-7d42-4b38-97b6-dfc70ee2a6ec
2.0SCI,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1976.0,6000.0,300.0,16.0,10.0,Euro 5,Transversale Avant,203.0,149.0,87.5,83.1,fb10162f-5a01-4e5c-aaab-9bff89e2ca9d
3.0G136,Gaz,Quatre cylindres en ligne,Turbo,Injection Multipoints,2998.0,2750.0,350.0,16.0,12.5,Euro 5,Transversale Avant,136.0,100.0,95.8,104.0,33201357-cdc3-4a99-ab23-a48824538326
125.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,125.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,d88d2d1f-9c2b-4f9d-9f38-8bfaac52fd73
1.3Ce150,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1330.0,3497.79,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,44811061-3813-4053-8df6-72c7dafc8b53
200K,Essence,Quatre cylindres en ligne,Compresseur volumétrique,Injection multipoints,1796.0,3000.0,240.0,16.0,9.5,Euro 4,Longitudinale Avant,163.0,120.0,82.0,85.0,6ed4d4a8-a41d-4061-bbdf-eaa678825bfa
350CDI,Diesel,Six cylindres en V,Turbo à géométrie variable,Injection directe à rampe commune,2987.0,1600.0,510.0,24.0,17.7,Euro 4,Longitudinale Avant,224.0,165.0,83.0,92.0,f85f6133-d805-43eb-9945-3c5c44385c3d
2.0CRDI140,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1991.0,1800.0,305.0,16.0,17.3,Euro 4,Transversale Avant,140.0,103.0,83.0,92.0,b124a804-18a2-47b4-a2bd-5dd2ffe73fa5
2.0,Essence,Six cylindres en ligne,Atmosphérique,Injection multipoints,1988.0,4600.0,195.0,24.0,10.1,Euro 6,Longitudinale Avant,155.0,114.0,75.0,75.0,2db21bf1-23e5-4a08-9f7f-5930ed3ec58e
2.0DCi140,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3750.0,320.0,16.0,17.9,Euro 5,Transversale Avant,140.0,103.0,85.0,88.0,e33b6b72-04f1-4214-9f66-ebec590a2e92
1.9D,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1910.0,2000.0,320.0,16.0,17.5,Euro 4,Transversale Avant,150.0,110.0,82.0,90.4,4efefdfd-a178-41d7-bf87-6b20a1add175
2.0D112,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,270.0,16.0,16.5,Euro 5,Longitudinale Avant,112.0,82.0,84.0,90.0,dcc653e5-afb5-406b-b633-dfcd55b68999
2.3HPi156,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2287.0,2750.0,350.0,16.0,16.2,Euro 6,Transversale Avant,156.0,115.0,88.0,94.0,d5630f87-eecc-4eb1-b30e-3cd63b4a2156
3.0HP170,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2998.0,1250.0,400.0,16.0,13.88,Euro 5,Transversale Avant,170.0,125.0,81.78,87.35,602f225e-16ce-41fa-9afd-4d86eeb70395
2.0d150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,320.0,16.0,16.5,Euro 6,Longitudinale Avant,150.0,110.0,84.0,90.0,60557fed-d305-4375-8afe-aee6c26c50d9
400.0,Essence,Six cylindres en V,Bi-Turbos,Injection directe essence,2996.0,5250.0,480.0,24.0,10.5,Euro 6,Longitudinale Avant,333.0,245.0,81.78,87.35,ef756626-8cde-4978-8e9d-cb121bd09a3c
2.5i,Essence,Six cylindres en ligne,Atmosphérique,Injection multipoints,2497.0,2750.0,250.0,24.0,11.0,Euro 4,Longitudinale Avant,218.0,160.0,82.0,78.8,8ffee10a-7758-45a6-ba60-76b66b781934
2.0DI150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4200.0,320.0,16.0,16.5,Euro 5,Longitudinale Avant,150.0,110.0,81.0,95.5,92d93e83-c29d-4843-a422-b8715a0b7ca5
1.2FSI110,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1197.0,4600.0,175.0,16.0,10.0,Euro 6,Transversale Avant,110.0,81.0,71.0,75.6,7ae97783-5395-4699-8b8b-a4ca05d29a8d
2.316v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,2290.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,147.0,108.0,81.78,87.35,e129e80f-da17-402b-b9b2-486e5490c2de
1868.0,Essence,Bicylindre en V,Turbo à géométrie variable,Injection électronique,1868.0,3000.0,164.0,8.0,10.5,Euro 4,Transversale Avant,91.0,67.0,102.0,114.0,37f95f9b-506e-4137-988b-aa1ad0419936
1.6-GDi180,Hybride,Quatre cylindres en ligne,Turbo,Injection directe essence,1598.0,5500.0,265.0,16.0,13.88,Euro 6,Transversale Avant,180.0,132.0,77.0,85.4,ac6ce9ee-6243-40e0-9761-6f861f7f1d71
2.0DI143,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4200.0,320.0,16.0,16.5,Euro 6,Longitudinale Avant,143.0,105.0,81.0,95.5,4084deae-d967-4ffe-acd8-5ba55a1ce52c
200K,Essence,Quatre cylindres en ligne,Compresseur volumétrique,Injection multipoints,1998.0,2500.0,230.0,16.0,9.6,Euro 6,Longitudinale Avant,163.0,120.0,89.9,78.7,c67b1127-2458-4a7a-9d05-752602ed2ea1
125.0,Essence,Monocylindre,Turbo à géométrie variable,Injection électronique,125.0,8750.0,294.79,2.0,13.88,Euro 4,Transversale Avant,12.0,9.0,81.78,87.35,b153adab-0160-4585-be2a-ca52018c9c29
V63.5,Hybride,Six cylindres en V,Turbo à géométrie variable,Injection multipoints,3456.0,4800.0,317.0,24.0,13.88,Euro 5,Transversale Avant,249.0,183.0,81.78,87.35,a318a177-a362-4190-81a6-503cda77b216
D3,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,1969.0,3750.0,320.0,16.0,16.0,Euro 6,Transversale Avant,150.0,110.0,82.0,93.2,bca2091c-9e11-4ee9-b154-fd71fd5c7d0c
1.6DCi115,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1560.0,3600.0,270.0,8.0,13.88,Euro 5,Transversale Avant,115.0,85.0,81.78,87.35,2c58df1e-4921-4cdb-b3ef-82addb7f850b
2.2CRDi200,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,2199.0,3800.0,440.0,16.0,13.88,Euro 6,Transversale Avant,200.0,147.0,85.4,96.0,e56bd068-c9f8-4de9-a7a4-62647f774711
2.0FSI310,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe,1984.0,5800.0,380.0,16.0,13.88,Euro 6,Transversale Avant,310.0,228.0,81.78,87.35,84ae66e5-690c-4e46-8bc8-b49eb66e26e1
1.4winport,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1398.0,4000.0,130.0,16.0,10.5,Euro 6,Transversale Avant,87.0,64.0,73.4,82.6,e8ebe03f-3c51-435f-89d3-93f638d17073
2.0Di140,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe par injecteurs pompes,1968.0,1750.0,320.0,16.0,18.5,Euro 6,Transversale Avant,140.0,103.0,81.0,95.5,855e345d-f699-42c3-9151-408be547694c
1.2FSI,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1197.0,5000.0,175.0,8.0,10.0,Euro 5,Transversale Avant,105.0,77.0,71.0,75.6,9b7c1531-6408-4906-9923-b1df95c65fee
1.6BlueHDi75,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1560.0,1730.0,230.0,8.0,13.88,Euro 6,Transversale Avant,75.0,55.0,75.0,88.3,3b28edcc-896d-49e5-b6f3-91f578c23d8f
280V6,Essence,Six cylindres en V,Atmosphérique,Injection,2799.0,3497.79,294.79,24.0,13.88,Euro 6,Transversale Avant,204.0,150.0,81.78,87.35,ffb96162-0ad5-4d66-9611-b42e33277e58
2.0d218,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4400.0,450.0,16.0,16.5,Euro 6,Longitudinale Avant,218.0,160.0,84.0,90.0,dd96171c-c805-4cfe-b8ab-89700570f15f
3.0V6,Essence,Six cylindres en V,Atmosphérique,Injection multipoints,3199.0,2750.0,270.0,24.0,10.0,Euro 6,Longitudinale Avant,190.0,140.0,89.9,84.0,bb9104f0-3918-47dd-acc1-48e4d1a2b6f2
2.0d150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4000.0,320.0,16.0,16.5,Euro 6,Longitudinale Avant,150.0,110.0,84.0,90.0,cd6c07ef-7359-4c50-bb33-f8bda335b69c
200d,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,3200.0,300.0,16.0,16.2,Euro 6,Transversale Avant,136.0,100.0,81.78,87.35,5f03d8d8-90d6-4ebc-9850-63a70ed70fb4
1.6,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1598.0,3000.0,153.0,16.0,11.0,Euro 6,Transversale Avant,98.0,72.0,77.0,85.8,d28b4c4e-0565-4d50-9fc7-7898410c2d8d
1.6d95,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,4000.0,235.0,16.0,16.5,Euro 5,Longitudinale Avant,95.0,70.0,78.0,83.6,6417b9b2-74fb-43af-82c5-8ff0bfbdedb6
1.6Mjt120,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,1750.0,300.0,16.0,15.4,Euro 6,Transversale Avant,120.0,88.0,80.0,79.5,126e790b-c76b-4cc8-b9e2-5d892a8004df
1.416v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1368.0,4500.0,127.0,16.0,11.0,Euro 6,Transversale,95.0,70.0,72.0,84.0,6c7057c5-6807-4ad0-970f-8020bce980c2
2.0FSI252,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1984.0,5000.0,370.0,16.0,13.88,Euro 6,Longitudinale Avant,252.0,185.0,81.78,87.35,a0edc3b4-1448-4ccb-91b9-2ba9be22a638
V86.7,Essence,Huit cylindres en V,Turbo,Injection,6752.0,3250.0,835.0,32.0,7.8,Euro 6,Longitudinale Avant,406.0,298.0,104.16,99.06,4d285573-09d1-4388-a859-8ed9008f6b23
7.0V8,Essence,Huit cylindres en V,Atmosphérique,Injection multipoints,7011.0,4800.0,637.0,16.0,11.1,Euro 4,Longitudinale Avant,512.0,377.0,104.8,101.6,e9d7effa-91fa-4799-8b9a-6349054dcc8a
1.6HDi112,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1560.0,3600.0,270.0,8.0,13.88,Euro 5,Transversale Avant,112.0,82.0,75.0,88.3,bb1adca1-359f-4412-a620-9768a1b7428a
1.2,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1242.0,3000.0,102.0,8.0,11.1,Euro 6,Transversale Avant,69.0,51.0,70.8,78.9,141a72c7-d2a3-476d-a22f-038608449517
200CDI,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,3200.0,350.0,16.0,17.5,Euro 5,Longitudinale Avant,143.0,105.0,88.0,88.3,7f683ed3-c2a8-4c26-8a9a-1ac21649afe8
125.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,125.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,ab508a8b-128e-4295-b13b-0cb50dd363d2
300.0,Essence,Monocylindre,Turbo à géométrie variable,Injection directe à rampe commune,247.0,3497.79,294.79,15.58,13.88,Euro 4,Transversale Avant,0.0,0.0,81.78,87.35,4a45fe28-aee5-4aa0-b346-6b3328011502
1.9DI90,Diesel,Quatre cylindres en ligne,Turbo,Injection directe par injecteurs pompes,1896.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,90.0,66.0,81.78,87.35,480b0103-f2b4-42fb-8517-8cea881dfcb9
1.9DI105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe par injecteurs pompes,1896.0,1900.0,250.0,8.0,19.0,Euro 4,Transversale Avant,105.0,77.0,79.5,95.5,660388d6-f774-456e-af38-3a54a56fef90
1.0GPL,Gaz,Trois cylindres en ligne,Atmosphérique,Injection Multipoints,999.0,3497.79,294.79,12.0,13.88,Euro 6,Transversale Avant,72.0,53.0,81.78,87.35,8d04a50c-088c-46e1-96c6-3c683216e932
2.0DCi170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2000.0,3497.79,420.0,16.0,13.88,Euro 6,Longitudinale Avant,170.0,125.0,81.78,87.35,e571518d-4c16-439f-b664-82f3c3f751a1
2.0d115,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,1750.0,280.0,16.0,17.0,Euro 6,Longitudinale Avant,115.0,85.0,84.0,90.0,dbd70dba-54bf-4a38-b3fd-53fef6ae00fe
2.5D84,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe,2496.0,4000.0,294.79,8.0,13.88,Euro 6,Transversale Avant,86.0,63.0,81.78,87.35,91d06f63-531f-47fd-9f6e-0ec00b1db03f
1.0,Essence,Trois cylindres en ligne,Turbo,Injection directe essence,999.0,3000.0,200.0,12.0,10.5,Euro 6,Transversale Avant,114.0,84.0,72.2,81.3,65ec11af-afb6-4cc3-8a6c-3920d6293937
2.2,Essence,Quatre cylindres en ligne,Atmosphérique,Injection,2157.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,185.0,136.0,81.78,87.35,ef045d7a-be0d-4d10-b943-4bc02767eb00
Electrique,Electrique,Synchrone à aimants permanents,Turbo à géométrie variable,Batterie lithium nickel cobalt manganèse (NCM),1887.85,3497.79,260.0,15.58,13.88,Euro 6,Transversale Avant,156.0,115.0,81.78,87.35,6299ad20-9d2b-44d8-897d-1d3ab4b1ca52
1300.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1300.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,18744434-d967-44a0-bbb8-c7da1200c8fb
501.0,Essence,Monocylindre,Turbo à géométrie variable,Injection électronique,511.0,3497.79,294.79,15.58,11.8,Euro 5,Transversale Avant,0.0,0.0,95.0,72.0,82fa0c3a-e42a-494d-9402-b2420742618f
2.0,Essence,Quatre cylindres en ligne,Turbo Basse Pression,Injection directe essence,1998.0,5500.0,400.0,16.0,9.5,Euro 6,Transversale Avant,276.0,203.0,86.0,86.0,9032a4ee-3c39-4374-9b6d-a07bcbd1db02
1.0MPI75ch,Essence,Trois cylindres en ligne,Atmosphérique,Injection multipoints,999.0,3000.0,95.0,12.0,10.5,Euro 6,Longitudinale Avant,75.0,55.0,81.78,87.35,a3edec30-1cb5-49ed-91ee-aa2dbb699986
V85.0,Essence,Huit cylindres en V,Compresseur,Injection directe essence,5000.0,6000.0,625.0,32.0,9.5,Euro 6,Longitudinale Avant,525.0,386.0,92.5,93.0,8ea4de8b-ea30-4bf0-8c89-f96c3a7d7b8c
125.0,Essence,Monocylindre,Turbo à géométrie variable,Carburateur,125.0,7200.0,10.0,2.0,9.2,Euro 6,Vertical,12.0,9.0,57.0,48.8,eff88e12-bde2-474b-8ded-2a5f8fc1aa6b
2.0d190,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,1750.0,400.0,16.0,16.5,Euro 6,Transversale Avant,190.0,140.0,84.0,90.0,7dbb15ac-0091-41da-a909-9264380c28e1
Electrique,Electrique,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1887.85,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,136.0,100.0,81.78,87.35,a903820f-0a17-432d-9594-78c269115290
D5,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe,1969.0,4000.0,480.0,16.0,15.8,Euro 6,Transversale Avant,235.0,173.0,82.0,93.2,61da8ba7-7775-4d2a-a69a-f1e13a1b033e
2.3HPi126,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2287.0,2800.0,320.0,16.0,16.2,Euro 5,Transversale Avant,126.0,93.0,88.0,84.0,293268d1-c367-44c9-ad40-5adc27d13b7a
BluedCi170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,1500.0,380.0,16.0,13.88,Euro 6,Transversale Avant,170.0,125.0,85.0,88.0,c1ded73d-e551-4f2f-b8c8-66c99310bd12
2.0DI140CR,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1968.0,3500.0,340.0,16.0,13.88,Euro 5,Transversale Avant,140.0,103.0,81.78,87.35,e5d634b7-6505-485a-b8ff-f191970773ff
Standard,Electrique,Synchrone à aimants permanents,Turbo à géométrie variable,Batterie lithium-ion,1887.85,3497.79,605.0,15.58,13.88,Euro 6,Transversale Avant,306.0,225.0,81.78,87.35,3e00eb35-eac9-4df1-a6f4-fcb4cf574dd6
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,acb004fe-de81-4834-9679-f4c907e0d620
2.3,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,2295.0,4000.0,208.0,16.0,13.88,Euro 6,Transversale Avant,161.0,118.0,89.6,91.0,eddd411e-fb76-463a-88d9-80a826387373
2.0FSI190,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1984.0,4200.0,320.0,16.0,13.88,Euro 6,Longitudinale Avant,190.0,140.0,81.78,87.35,73779470-f87b-4739-9799-1f0b1cd928c6
3.0DI286,Diesel,Six cylindres en V,Turbocompresseur,Injection directe à rampe commune,2967.0,3750.0,600.0,24.0,13.88,Euro 6,Longitudinale Avant,286.0,210.0,81.78,87.35,07abecb8-4b85-43a0-a90b-fb3b5cfaf295
2.0d224,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1995.0,4400.0,450.0,16.0,16.5,Euro 6,Longitudinale Avant,224.0,165.0,84.0,90.0,d3443424-de44-426c-8f60-5d26f0c1115a
1.5DCi75,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,1498.0,1700.0,190.0,8.0,16.0,Euro 6,Transversale Avant,75.0,55.0,81.78,87.35,b5c4b331-6a23-4f57-86de-15b732cfc7e3
2.3HPi116,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2287.0,2550.0,300.0,16.0,16.2,Euro 6,Transversale Avant,116.0,85.0,88.0,94.0,2c7f3127-7cd0-460d-b057-1ae1e80b3b8c
350.0,Essence,Six cylindres en V,Atmosphérique,Injection multipoints,3498.0,2400.0,350.0,24.0,10.7,Euro 4,Longitudinale Avant,272.0,200.0,92.9,86.0,8c9ec699-cc68-45ea-8246-809f60fdc49d
D5,Diesel,Cinq cylindres en ligne,Turbo,Injection,2401.0,3497.79,294.79,20.0,13.88,Euro 6,Transversale Avant,163.0,120.0,81.78,87.35,e6ce38cb-dd5d-4c7e-a983-0fb1ef1200e7
1.6D115,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1560.0,3600.0,270.0,8.0,16.0,Euro 5,Transversale Avant,115.0,84.0,75.0,88.3,822ddd7b-7529-4df9-8093-0de1edbc0199
300e,Hybride,Quatre cylindres en ligne,Turbo,Injection directe essence,1991.0,5500.0,350.0,16.0,13.88,Euro 6,Longitudinale Avant,211.0,155.0,81.78,87.35,afed7669-fc91-49a3-9533-4363bcc8c1ef
1.2GPL,Gaz,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1149.0,2500.0,93.0,8.0,9.6,Euro 6,Transversale Avant,60.0,43.0,69.0,76.8,831aa5ab-95a0-4a39-8f16-9ea0ea6cc025
70.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,72.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,552a594f-9436-47ea-927d-6827637a61d5
2.0DI190,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,3800.0,400.0,16.0,13.88,Euro 6,Transversale Avant,190.0,140.0,81.78,87.35,412dc27d-2373-41f0-bc19-6c8798af5de3
1.6DI105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,1500.0,250.0,16.0,13.88,Euro 5,Transversale Avant,105.0,77.0,81.78,87.35,cebfb8b4-21e1-4db2-ae0b-2e79befb80cd
1.9dCi130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1870.0,2000.0,300.0,8.0,17.0,Euro 4,Transversale Avant,130.0,96.0,80.0,93.0,f5fbd82e-39d9-4965-a9ba-2c8ce4bca28a
250.0,Essence,Monocylindre,Turbo à géométrie variable,Injection électronique,249.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,0.0,0.0,66.4,72.0,42a1d30f-4269-43ae-89ec-0ebdf7ebfccc
4.0,Essence,Six cylindres en ligne,Atmosphérique,Injection,3980.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,249.0,183.0,81.78,87.35,a30b6afe-463d-421f-8f8c-aa8c431ff78b
2.0D240,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1999.0,1500.0,500.0,16.0,15.5,Euro 6,Transversale Avant,240.0,177.0,83.0,92.35,1d7cf24f-737e-4f22-bdcb-4d50c6058d6e
1.4FSI,Essence,Quatre cylindres en ligne,Compresseur volumétrique,Injection directe essence,1390.0,5000.0,200.0,16.0,10.0,Euro 5,Transversale Avant,122.0,90.0,76.5,75.6,9d7b6a36-731d-4be1-88fe-004cf4013488
