Predicted,RealPrice
11955192.503078,10508968
34368920.252566,33683447
13163184.600642,14848758
14524051.404475,13393260
15306826.948810,16791649
15323593.125786,16090606
15293787.373506,15349503
1729184.636383,1708542
7860926.657272,7043813
19115799.592507,17659607
38892531.314809,38096680
23969338.641035,25704910
77175333.827029,84993118
12871596.693094,12732276
19623373.169164,18634391
12535164.060707,12377081
11939395.736102,12612097
6592513.055731,6609166
2311577.524713,2330133
21812383.798842,19829502
8624595.353185,8011252
26370612.436954,26873315
32886430.626882,33750213
75072573.508573,71272705
34253520.520514,32054357
28470151.853638,25766335
21440459.734750,23797405
18343667.920104,17332454
37441023.811909,38357067
5087576.246630,5201071
37807289.628614,35973521
18225749.920713,20236775
32276802.264884,31582989
33711731.048425,31580318
29477834.237267,30377195
43583198.424410,46733529
27300137.303631,26693047
12346184.570597,11149922
23916509.238989,24603271
35033995.024561,35348591
12069432.394109,12451859
37362756.295999,36774713
16500862.775290,16357670
26385213.515609,21015266
40870273.439077,43064070
22703356.714260,23847480
27095616.607290,29009827
13833538.269415,12518625
26018441.012702,26138889
15113504.010764,16391053
23702208.591277,19622527
26468739.544363,23595104
9213661.752421,9252432
29537585.402967,26559515
22945818.144019,22894061
29797678.096158,34017277
26545520.927035,27741273
8911116.158277,8722978
22026725.814701,23783385
15198975.903043,13628944
11259739.823595,14534958
25037766.140481,21765716
49684605.871900,46422400
7951712.887620,7521858
31888412.377027,27954924
24635847.207442,23141096
19127305.626542,17425926
35873093.185557,34371137
8600005.251165,9008069
45353831.506898,42029197
11316490.098098,10342053
26102983.600949,28666650
16097414.186610,14707882
23722009.297314,22233078
19597156.173111,19362140
26910358.521239,24035760
8485496.610302,8432546
63086046.788503,71706684
29797070.200514,31854059
24873836.532413,23134419
9777549.782126,8278984
27622904.685991,25866484
29301015.452835,26539485
14809626.663267,14381396
16215060.333510,15890308
27780088.242108,28490388
20227710.588493,18180382
9465406.406097,9272462
14679978.260857,11977820
28516282.904671,32548425
35958207.592298,30905981
22492769.988707,26819902
14741443.197680,16290904
23230923.888745,22433376
27403806.269435,31079573
14843105.589123,14928878
35469639.793618,36577753
27619785.089332,29720885
13526144.101222,13150231
4397250.061070,4405888
20147972.141406,19762736
17954041.767682,18026820
30737509.630838,31647084
30389952.611044,29143359
21718999.485258,22967504
18933162.603301,17592841
20246588.664598,20397013
20910215.553293,18961544
10603386.522734,10415496
28776262.658193,27173762
25054963.174444,20941156
14424521.696990,15135852
16563242.387431,16037193
22381382.122329,24573226
80274181.783717,76447070
26031155.630389,30411913
10576880.253388,8746346
19588860.950975,17819845
8962052.830601,8472605
14646750.479142,15289414
20131729.060111,19328757
16828249.480436,14187775
2722678.022361,2803504
18201228.204784,18243810
12366629.367668,11503782
22466964.135665,22867355
22574624.895665,21024613
12521398.535234,12251561
18532564.394032,21171499
20412449.655767,19876238
31181440.273125,26806549
10436701.095852,10675883
14765728.489379,14488222
14545703.975602,11483752
18668965.726732,14121009
19940808.679790,25533989
16751681.305571,18814659
20392288.940978,18994927
28611166.070461,30232980
40831229.390864,38857812
18722204.248636,18160352
25618795.722850,25337697
10285026.743802,9921428
3905851.364564,4005292
29927836.511408,28208635
2446204.634194,2269376
8710554.875442,8365780
9792375.630171,9577583
15895815.245513,13419966
23997746.003996,23141096
31436456.207225,35816621
18304139.641392,17710349
23256921.312649,20530545
22355471.502556,25497935
26839628.658007,22681746
5094884.623502,5234454
33666298.301184,30745743
25473556.084247,25451199
30597478.337733,29984611
83782154.594481,64195509
27513022.104340,29784980
21220692.190338,23034270
27257301.590403,27040230
12192900.758967,11827597
38418963.790672,38290301
91734705.185949,95942742
54703707.737812,49173159
