Marque,Modele,Annee,Prix,Immatriculation,Vitesse_maximale,0_a_100_km/h,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,poids_a_vide,ptac,ptra,charge_utile,poids_tracte_freine,poids_tracte_non_freine,materiau_des_jantes_Alu,materiau_des_jantes_Aluminium,materiau_des_jantes_Enjoliveurs,materiau_des_jantes_Peintes,materiau_des_jantes_nan,types_de_pneumatiques,taille_des_roues_avant,taille_des_roues_arriere,type_de_roues_de_secours,nombre_de_places,volume_de_coffre,volume_de_coffre_utile,Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Boite_de_vitesses,Mode_de_transmission,puissance_commerciale,puissance_fiscale,consommation_mixte,emission_de_co2,energie_Electrique,energie_Essence,energie_Gaz,energie_Hybride,boite_de_vitesses_Manuelle,carrosserie,longueur,largeur,hauteur,empattement,reservoir,porte_a_faux_avant,porte_a_faux_arriere,voies_avant,voies_arriere,garde_au_sol
23321310.093812596,24652049.081948508,16923705.96889949,27257887,d2db313c-499a-4cff-b701-9fcf8b3fa7af,218.0,8.7,2290.0,2762.0,318.0,16.0,12.8,169.0,84.92,96.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,25432239.11804961,20898796.57357366,16749752.8591224,26003968.52995973,1514.0,2373.8,3271.8,521.8,1620.0,743.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,5.4,436.0,3718.0,6.720000000000001,166.6,7.739999999999999,5.08,21043661.273426056,19470409.71635553,154.8,16.0,5.139999999999999,141.4,0.0,1.0,0.0,0.0,0.0,25809557.077395577,5.296,1.91,1.918,3.098,70.2,0.8972,1.2736,1.5668000000000002,1.557,152.8
74036147.98041323,28120059.764066532,30959232.789224587,45324767,ce4c5246-4e43-4177-9517-acd74241b790,275.0,5.1,1988.0,6500.0,380.0,16.0,9.5,220.0,91.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26577894.37373375,25432239.11804961,31460359.978947368,24157121.794999115,26117647.858480323,1335.0,1655.0,1655.0,320.0,1720.0,750.0,0.0,1.0,0.0,0.0,0.0,28948644.35253828,27065442.11183001,26921464.060095143,39795971.01263694,2.0,275.0,1099.0,9.4,212.0,8.78,6.04,24202373.90138675,33864912.690795355,300.0,19.0,9.4,212.0,0.0,1.0,0.0,0.0,1.0,32627832.80356511,4.38,1.8,1.28,2.48,54.0,0.8436,1.0574,1.515,1.532,131.0
14139072.978244826,22808678.481614344,22318051.363480873,14922201,0c5a72b3-7178-49d7-a001-8f20a94cd2d8,176.0,12.2,1910.0,2000.0,280.0,8.0,18.0,88.0,82.0,90.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,19422344.03594905,1370.0,2050.0,3350.0,680.0,1300.0,619.6,0.0,0.0,0.0,0.0,0.0,20595607.53743471,12991974.85598935,12947704.988941727,24715394.52808989,6.0,430.0,1900.0,6.4,173.0,8.0,5.5,14065157.677058354,19470409.71635553,101.0,7.0,6.4,173.0,0.0,0.0,0.0,0.0,1.0,23426411.04068857,4.09,1.87,1.7,2.67,63.0,0.837,0.586,1.515,1.52,151.6
6922408.001760564,17513343.809556376,21846676.895059973,7944486,69a90482-3238-4e34-a9f8-dd820e0a3045,167.4,12.22,1000.0,6100.0,80.6,4.8,12.2,11.0,71.96,62.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.95026178,7645246.457534265,16749752.8591224,5304579.614093546,694.4,1470.0,2612.0,521.6,1036.0,521.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,5.0,258.2,920.8,5.220000000000001,132.6,8.16,5.42,6858093.216200304,7465621.600713013,69.4,9.0,3.4,109.0,0.0,1.0,0.0,0.0,1.0,8815288.687960688,3.25,1.372,1.406,2.098,32.2,0.7470000000000001,0.6992,1.445,1.4416,133.8
20229873.318408538,23257715.882053226,23781795.36986361,18360650,4417b6b2-e571-455c-85cf-686bd9416178,185.0,10.6,1798.0,3500.0,300.0,16.0,17.72,85.0,76.64,88.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,17895679.00867828,1505.0,2060.0,3122.0,563.2,1400.0,745.0,0.0,1.0,0.0,0.0,0.0,27281338.707465127,27219165.322312526,27219165.322312526,28263347.843927357,5.0,442.0,1193.0,5.1,132.0,6.1,4.6,24202373.90138675,41172700.47964377,115.8,6.0,5.1,132.0,0.0,0.0,0.0,0.0,1.0,30891361.42266824,4.3,1.77,1.62,2.67,60.0,0.8864000000000001,0.7432000000000001,1.525,1.525,170.0
6922408.001760564,21677187.043095276,28099849.68378378,6603157,69d56999-a82f-4d6f-9218-72cbe9910d74,168.0,14.080000000000002,550.0,5500.0,56.0,8.0,10.73,39.0,83.32000000000001,74.02000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10569371.91365135,12179055.95026178,12785061.217168195,16749752.8591224,21677187.04309528,227.0,1401.0,2082.0,470.0,800.0,485.0,0.0,0.0,0.0,0.0,1.0,10290846.46232733,20005444.36548736,21538422.767585028,19476528.53862105,5.0,271.2,1095.8,6.2,145.0,8.319999999999999,5.12,2232150.4466731064,7465621.600713013,66.4,6.0,1.56,112.8,0.0,1.0,0.0,0.0,0.0,2236049.3114163224,2.17,0.8,1.4,1.58,13.0,0.7252000000000001,0.5793999999999999,1.4179999999999997,1.3768,179.2
6922408.001760564,21224037.77759028,17299324.946558904,1534950,570c9074-406d-46b2-a7d4-7152fdee37c6,57.0,16.12,100.0,6700.0,72.2,4.8,11.96,0.0,46.260000000000005,44.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.95026178,7645246.457534265,16749752.8591224,5304579.614093546,116.0,1256.0,2109.0,433.8,790.0,489.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,5.0,232.4,1058.4,2.66,61.0,8.419999999999998,5.28,2232150.4466731064,7465621.600713013,66.4,1.0,0.6,111.6,0.0,1.0,0.0,0.0,0.0,2236049.3114163224,1.914,2.168,1.1060000000000003,1.34,8.0,0.7492,0.6386,1.3328,1.3279999999999998,172.0
17294140.7506944,13901720.63423239,21846676.895059973,8078686,24d883cf-3068-4949-8ebf-96997f85f102,154.0,16.3,1240.0,3600.0,110.0,16.0,9.92,48.0,71.0,78.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,14132719.075767614,957.0,1475.0,2275.0,529.0,800.0,546.0,0.0,0.0,0.0,0.0,0.0,20595607.53743471,14018743.134143883,14018743.134143883,24715394.52808989,5.0,251.0,584.0,5.9,139.0,7.4,5.1,14065157.677058354,19470409.71635553,65.0,4.0,5.9,139.0,0.0,1.0,0.0,0.0,1.0,15662558.052013423,3.72,1.66,1.54,2.43,46.0,0.7436,0.6564,1.47,1.458,171.6
26925438.46925379,22066587.802729808,16923705.96889949,14860776,3a027ff4-70e8-4878-85bd-26a34d95759f,188.0,10.98,1870.0,2120.0,234.0,12.8,15.32,70.0,76.5,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,25432239.11804961,20898796.57357366,16749752.8591224,14827864.65085902,1357.4,2009.0,2947.8,625.2,1510.0,582.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,4.4,458.2,1449.6,5.86,145.2,7.340000000000001,5.1,14065157.677058354,19470409.71635553,108.0,6.0,5.0600000000000005,148.0,0.0,0.0,0.0,0.0,1.0,25809557.077395577,4.470000000000001,1.7719999999999998,1.576,2.71,56.8,0.8699999999999999,0.7646,1.5088,1.516,169.0
19010683.28224305,24156570.94586426,26206137.576086953,20463779,4b481251-135e-40d5-9df4-a10fc967e903,194.0,10.1,1997.0,3100.0,370.0,16.0,17.360000000000003,110.0,85.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25103235.304740407,1614.0,2250.0,4150.0,636.0,1900.0,750.0,0.0,0.0,0.0,0.0,0.0,28948644.35253828,30903820.282755885,30903820.282755885,24715394.52808989,5.0,406.0,1603.0,4.7,122.0,5.4,4.3,24202373.90138675,19470409.71635553,134.4,6.0,4.7,122.0,0.0,0.0,0.0,0.0,1.0,30891361.42266824,4.52,1.84,1.69,2.69,60.0,0.8752000000000001,0.9964,1.56,1.565,200.0
28422910.714670256,38061899.211408965,28882486.206582833,39118199,e9916268-b28f-44c6-8a88-2296a0a11268,232.4,7.640000000000001,2287.0,3000.0,350.0,16.0,16.2,100.0,88.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25504888.160491057,1771.0,3500.0,7000.0,791.8,3500.0,750.0,0.0,0.0,0.0,0.0,0.0,28948644.35253828,35337974.2086618,35337974.2086618,28263347.843927357,3.0,497.0,1373.2,6.339999999999999,158.2,8.0,5.36,36789851.15366431,33864912.690795355,136.0,8.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,31063938.40633433,7.09,2.01,2.78,4.1,100.0,0.998,1.988,1.74,1.542,200.0
19010683.28224305,24435446.564735714,21846676.895059973,20296864,449721bd-289b-46f7-aa9b-95620d78bfde,191.0,11.6,2261.0,4000.0,208.0,16.0,10.5,118.0,89.6,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,23249023.883369,1659.0,2465.0,3715.0,596.6,1035.0,724.0,0.0,0.0,0.0,0.0,0.0,20595607.53743471,21020014.915203627,21020014.915203627,21336615.20880968,7.0,830.0,2325.0,9.8,235.0,13.8,7.5,29295262.692050077,19470409.71635553,115.4,11.0,9.8,235.0,0.0,1.0,0.0,0.0,0.0,23426411.04068857,4.82,1.88,1.76,2.85,70.0,0.918,1.052,1.5622,1.5445999999999998,146.8
33414975.833659492,27536323.29965412,21846676.895059973,23434866,93738096-d2f7-4bdb-ab22-bf5f3cd342c5,223.0,9.8,1796.0,2800.0,230.0,16.0,9.3,115.0,82.0,85.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,30721548.883327752,18940612.851445664,38283176.946385056,28710616.912489228,1530.0,2060.0,3760.0,511.0,1700.0,699.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,24415846.830128152,24041486.527868904,19476528.53862105,5.0,485.0,1500.0,6.9,164.0,9.4,5.5,24202373.90138675,33864912.690795355,142.4,9.0,6.9,164.0,0.0,1.0,0.0,0.0,1.0,25809557.077395577,4.6,1.77,1.46,2.76,66.0,0.765,1.071,1.541,1.544,156.6
28422910.714670256,27446078.2977724,27790114.49764151,28971103,a6fd0af6-ff7c-4a71-80e9-88b82eb37a6a,145.0,7.979999999999999,2287.0,1800.0,320.0,16.0,16.2,96.0,88.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.11804961,26680972.63857678,21681371.152758133,26238120.61620093,1656.0,3500.0,6500.0,641.0,3000.0,750.0,0.0,0.0,0.0,0.0,0.0,28948644.35253828,29627329.50411356,29627329.50411356,22727267.49712092,2.0,452.4,1122.2,6.8,178.0,10.62,6.16,24202373.90138675,19470409.71635553,130.0,8.0,6.8,152.6,0.0,0.0,0.0,0.0,1.0,31063938.40633433,6.0,2.05,2.52,4.04,90.0,0.948,1.015,1.81,1.79,147.8
20387485.665212493,23174330.54702229,27236479.628398698,24736803,8c4f8ee5-a812-4fc8-b5c1-6c38cc62cbdb,205.0,10.6,2191.0,4500.0,380.0,16.0,14.4,110.0,86.0,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,27912203.44233807,26680972.63857678,21681371.152758133,25103235.304740407,1550.0,2172.0,3772.0,622.0,1600.0,771.0,0.0,1.0,0.0,0.0,0.0,28948644.35253828,31961403.98694005,31899350.92661913,28263347.843927357,5.0,480.0,1383.4,5.1,133.0,5.9,4.5,29295262.692050077,19470409.71635553,150.0,8.0,5.1,133.0,0.0,0.0,0.0,0.0,0.0,32785312.074572127,4.87,1.84,1.45,2.83,62.0,0.9131999999999998,1.097,1.585,1.575,165.0
20387485.665212493,24535079.339862823,30829821.00848831,26673017,e7e7894e-3ff8-45a4-8f6d-c4aff054736d,220.0,6.8,1998.0,4000.0,205.0,16.0,13.0,135.0,83.5,91.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,19406938.01574803,31460359.978947368,38283176.946385056,29236868.341973256,1072.0,1305.0,1305.0,233.0,1700.0,743.0,0.0,1.0,0.0,0.0,0.0,28948644.35253828,19893203.581390303,19808306.558125574,28263347.843927357,2.0,127.0,1178.6,6.9,155.0,6.24,4.239999999999999,24202373.90138675,33864912.690795355,184.0,10.0,6.9,155.0,0.0,1.0,0.0,0.0,1.0,32627832.80356511,3.92,1.74,1.24,2.31,45.0,0.8262,0.979,1.495,1.505,147.0
24834970.282863338,24794983.728809446,23781795.36986361,27707890,e1ab30a8-8c9f-4475-a3fc-76c26abb3cf7,225.0,5.9,1598.0,5400.0,240.0,16.0,10.5,135.0,77.0,85.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,27912203.44233807,31460359.978947368,24846385.836418703,29236868.341973256,1012.0,2136.0,3243.0,483.6,1429.0,739.0,0.0,1.0,0.0,0.0,0.0,27281338.707465127,22920233.346214943,23076683.44079497,19476528.53862105,2.0,240.0,1437.2,7.6,175.0,10.4,5.9,24202373.90138675,33864912.690795355,198.4,11.0,7.6,175.0,0.0,1.0,0.0,0.0,1.0,41974511.39970119,3.74,1.74,1.31,2.26,42.0,0.8865999999999999,1.0003999999999995,1.44,1.43,154.2
20951047.019662928,17073545.00851495,17897345.95668386,11824259,d388ff6a-eed1-4c50-a117-fc285c73c992,184.0,11.4,1595.0,3800.0,148.0,8.0,10.5,75.0,81.0,77.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,17049040.656574976,1348.0,1760.0,2960.0,404.0,1200.0,620.0,0.0,0.0,0.0,0.0,0.0,20595607.53743471,15562325.274442164,15562325.274442164,24715394.52808989,5.0,350.0,1305.0,7.2,173.0,9.8,5.6,14065157.677058354,19470409.71635553,104.8,7.0,7.2,173.0,0.0,1.0,0.0,0.0,1.0,15662558.052013423,4.2,1.76,1.49,2.58,55.0,0.88,0.746,1.539,1.528,131.4
